Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie
2020-02-25,1.43,1.43,1.43,1.43
2020-02-26,1.43,1.43,1.43,1.43
2020-02-27,1.43,1.43,1.43,1.43
2020-02-28,1.43,1.43,1.43,1.43
2020-03-02,1.43,1.43,1.43,1.43
2020-03-03,1.43,1.43,1.43,1.43
2020-03-04,1.43,1.43,1.43,1.43
2020-03-05,1.43,1.43,1.43,1.43
2020-03-06,1.43,1.43,1.43,1.43
2020-03-09,1.42,1.42,1.42,1.42
2020-03-10,1.42,1.42,1.42,1.42
2020-03-11,1.42,1.42,1.42,1.42
2020-03-12,1.42,1.42,1.42,1.42
2020-03-13,1.43,1.43,1.43,1.43
2020-03-16,1.38,1.38,1.38,1.38
2020-03-17,1.3,1.3,1.3,1.3
2020-03-18,0.99,0.99,0.99,0.99
2020-03-19,0.96,0.96,0.96,0.96
2020-03-20,0.96,0.96,0.96,0.96
2020-03-23,0.95,0.95,0.95,0.95
2020-03-24,0.94,0.94,0.94,0.94
2020-03-25,0.94,0.94,0.94,0.94
2020-03-26,0.94,0.94,0.94,0.94
2020-03-27,0.94,0.94,0.94,0.94
2020-03-30,0.94,0.94,0.94,0.94
2020-03-31,0.94,0.94,0.94,0.94
2020-04-01,0.94,0.94,0.94,0.94
2020-04-02,0.93,0.93,0.93,0.93
2020-04-03,0.93,0.93,0.93,0.93
2020-04-06,0.93,0.93,0.93,0.93
2020-04-07,0.94,0.94,0.94,0.94
2020-04-08,0.95,0.95,0.95,0.95
2020-04-09,0.46,0.46,0.46,0.46
2020-04-10,0.45,0.45,0.45,0.45
2020-04-14,0.45,0.45,0.45,0.45
2020-04-15,0.45,0.45,0.45,0.45
2020-04-16,0.45,0.45,0.45,0.45
2020-04-17,0.45,0.45,0.45,0.45
2020-04-20,0.45,0.45,0.45,0.45
2020-04-21,0.45,0.45,0.45,0.45
2020-04-22,0.45,0.45,0.45,0.45
2020-04-23,0.45,0.45,0.45,0.45
2020-04-24,0.45,0.45,0.45,0.45
2020-04-27,0.44,0.44,0.44,0.44
2020-04-28,0.44,0.44,0.44,0.44
2020-04-29,0.44,0.44,0.44,0.44
2020-04-30,0.44,0.44,0.44,0.44
2020-05-04,0.44,0.44,0.44,0.44
2020-05-05,0.44,0.44,0.44,0.44
2020-05-06,0.44,0.44,0.44,0.44
2020-05-07,0.44,0.44,0.44,0.44
2020-05-08,0.44,0.44,0.44,0.44
2020-05-11,0.44,0.44,0.44,0.44
2020-05-12,0.44,0.44,0.44,0.44
2020-05-13,0.44,0.44,0.44,0.44
2020-05-14,0.44,0.44,0.44,0.44
2020-05-15,0.44,0.44,0.44,0.44
2020-05-18,0.44,0.44,0.44,0.44
2020-05-19,0.44,0.44,0.44,0.44
2020-05-20,0.44,0.44,0.44,0.44
